2026-02-28T07:08:43+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:11:32+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:11:43+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:11:44+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:11:45+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:12:07+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:12:24+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:14:37+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:14:45+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:14:46+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:17:41+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:17:46+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:17:46+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:18:13+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:18:17+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:18:22+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:19:17+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:19:21+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:19:25+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:19:36+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:20:14+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:20:18+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:20:44+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:20:46+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:22:18+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:23:13+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:23:45+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:23:47+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:24:20+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:26:20+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:26:45+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:26:46+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:26:47+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:28:21+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:29:45+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:29:46+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:29:47+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:30:02+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:31:02+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:32:03+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:32:34+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:32:45+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:32:46+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T08:14:19+00:00 CRITICAL Uncaught Error: Cannot unset string offsets in C:\xampp\htdocs\kamashop\wp-content\plugins\woo-vietnam-checkout\devvn-woo-address-selectbox.php:576 CONTEXT: {"error":{"type":1,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woo-vietnam-checkout\devvn-woo-address-selectbox.php","line":576},"remote-logging":true,"backtrace":["#0 C:\xampp\htdocs\kamashop\wp-includes\class-wp-hook.php(324): Woo_Address_Selectbox_Class->devvn_woocommerce_order_formatted_shipping_address('Nh\xC6\xB0 qu\xE1\xBB\xB3nh Ce...', Object(Automattic\WooCommerce\Admin\Overrides\Order))n#1 C:\xampp\htdocs\kamashop\wp-includes\plugin.php(205): WP_Hook->apply_filters('Nh\xC6\xB0 qu\xE1\xBB\xB3nh Ce...', Array)n#2 C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-wc-order.php(1050): apply_filters('woocommerce_ord...', Array, Object(Automattic\WooCommerce\Admin\Overrides\Order))n#3 C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\admin\meta-boxes\class-wc-meta-box-order-data.php(528): WC_Order->get_formatted_shipping_address()n#4 C:\xampp\htdocs\kamashop\wp-admin\includes\template.php(1456): WC_Meta_Box_Order_Data::output(Object(Automattic\WooCommerce\Admin\Overrides\Order), Array)n#5 C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\src\Internal\Admin\Orders\Edit.php(506): do_meta_boxes(Object(WP_Screen), 'normal', Object(Automattic\WooCommerce\Admin\Overrides\Order))n#6 C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\src\Internal\Admin\Orders\Edit.php(410): Automattic\WooCommerce\Internal\Admin\Orders\Edit->render_meta_boxes()n#7 C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\src\Internal\Admin\Orders\PageController.php(293): Automattic\WooCommerce\Internal\Admin\Orders\Edit->display()n#8 C:\xampp\htdocs\kamashop\wp-includes\class-wp-hook.php(324): Automattic\WooCommerce\Internal\Admin\Orders\PageController->output('')n#9 C:\xampp\htdocs\kamashop\wp-includes\class-wp-hook.php(348): WP_Hook->apply_filters('', Array)n#10 C:\xampp\htdocs\kamashop\wp-includes\plugin.php(517): WP_Hook->do_action(Array)n#11 C:\xampp\htdocs\kamashop\wp-admin\admin.php(259): do_action('woocommerce_pag...')n#12 {main}n  thrown"]}
